Timestamp,Temperature (C),Fan Speed,Occupancy,Energy Usage (kWh)
04/06/24 00:00,23.09,0,1,0.0
04/06/24 00:01,27.55,69,3,0.82
04/06/24 00:02,20.85,71,3,0.67
04/06/24 00:03,20.69,96,1,1.04
04/06/24 00:04,15.26,56,1,0.64
04/06/24 00:05,26.24,99,0,1.13
04/06/24 00:06,22.75,99,5,1.57
04/06/24 00:07,15.92,10,3,0.09
04/06/24 00:08,29.5,74,0,0.7
04/06/24 00:09,28.84,44,1,0.43
04/06/24 00:10,23.34,3,3,0.04
04/06/24 00:11,15.32,91,0,0.81
04/06/24 00:12,20.24,90,3,1.65
04/06/24 00:13,16.84,28,0,0.26
04/06/24 00:14,26.62,18,3,0.2
04/06/24 00:15,29.8,44,3,0.39
04/06/24 00:16,29.88,54,0,0.47
04/06/24 00:17,18.05,5,0,0.06
04/06/24 00:18,17.34,39,0,0.41
04/06/24 00:19,25.09,8,3,0.09
04/06/24 00:20,28.83,10,2,0.08
04/06/24 00:21,20.5,26,3,0.31
04/06/24 00:22,22.44,2,0,0.02
04/06/24 00:23,18.62,42,3,0.43
04/06/24 00:24,23.44,17,0,0.14
04/06/24 00:25,21.33,42,3,0.37
04/06/24 00:26,15.81,88,1,1.6
04/06/24 00:27,18.22,46,0,0.46
04/06/24 00:28,28.47,61,1,0.63
04/06/24 00:29,17.28,83,3,1.35
04/06/24 00:30,17.89,77,2,0.64
04/06/24 00:31,24.36,49,0,0.41
04/06/24 00:32,19.58,3,2,0.03
04/06/24 00:33,21.13,4,0,0.04
04/06/24 00:34,17.49,28,0,0.25
04/06/24 00:35,28.72,47,1,0.46
04/06/24 00:36,18.38,31,3,0.28
04/06/24 00:37,21.04,31,1,0.33
04/06/24 00:38,25.25,12,0,0.14
04/06/24 00:39,17.51,60,1,0.5
04/06/24 00:40,29.24,91,5,1.43
04/06/24 00:41,22.04,78,1,0.92
04/06/24 00:42,19.73,40,2,0.36
04/06/24 00:43,19.3,30,3,0.27
04/06/24 00:44,26.57,100,3,1.78
04/06/24 00:45,26.52,80,2,1.37
04/06/24 00:46,22.58,17,3,0.16
04/06/24 00:47,23.13,62,0,0.59
04/06/24 00:48,23.62,81,1,1.4
04/06/24 00:49,26.07,85,1,0.93
04/06/24 00:50,18.93,92,3,1.45
04/06/24 00:51,28.65,87,1,0.85
04/06/24 00:52,16.64,35,3,0.35
04/06/24 00:53,15.99,40,3,0.44
04/06/24 00:54,23.94,63,0,0.75
04/06/24 00:55,27.35,33,2,0.28
04/06/24 00:56,15.12,36,2,0.37
04/06/24 00:57,22.36,41,2,0.42
04/06/24 00:58,27.98,88,1,0.74
04/06/24 00:59,21.4,81,0,0.77
04/06/24 01:00,26.65,49,1,0.54
04/06/24 01:01,29.38,0,0,0.0
04/06/24 01:02,16.48,5,3,0.06
04/06/24 01:03,19.39,55,2,0.64
04/06/24 01:04,26.51,82,2,0.85
04/06/24 01:05,20.47,41,0,0.35
04/06/24 01:06,28.94,36,2,0.42
04/06/24 01:07,27.35,40,2,0.32
04/06/24 01:08,24.2,28,0,0.26
04/06/24 01:09,17.3,91,1,0.73
04/06/24 01:10,16.15,10,1,0.12
04/06/24 01:11,24.91,35,3,0.39
04/06/24 01:12,17.25,60,2,0.71
04/06/24 01:13,16.41,13,3,0.13
04/06/24 01:14,25.78,9,2,0.08
04/06/24 01:15,24.23,50,2,0.54
04/06/24 01:16,21.35,58,0,0.47
04/06/24 01:17,22.55,41,0,0.48
04/06/24 01:18,20.01,57,1,0.6
04/06/24 01:19,29.27,35,1,0.32
04/06/24 01:20,23.28,53,2,0.49
04/06/24 01:21,27.29,41,0,0.36
04/06/24 01:22,21.02,55,3,0.46
04/06/24 01:23,23.01,20,1,0.18
