Timestamp,Temperature (C),Humidity (%),Lux Intensity,CO2 Level (ppm),Occupancy,Fan Speed,Lighting Level,Humidifier Level,Air Purifier Level,Energy Usage (kWh)
04/06/24 00:00,25.36,36.72,26.91,866.02,4,56,92,6,2,0.53
04/06/24 00:01,29.26,59.910000000000004,1.65,527.3,5,75,76,41,5,0.77
04/06/24 00:02,20.25,43.15,0.36,1388.27,2,7,11,55,84,0.52
04/06/24 00:03,26.73,45.339999999999996,9.21,1834.7,0,61,3,39,52,0.59
04/06/24 00:04,18.76,40.25,30.91,1135.13,3,38,31,77,76,0.78
04/06/24 00:05,29.57,59.15,3.25,1423.54,3,54,64,0,83,0.85
04/06/24 00:06,17.47,56.49,22.0,1784.47,3,0,66,32,64,0.55
04/06/24 00:07,22.42,43.459999999999994,49.09,1523.9,0,47,49,18,47,0.6
04/06/24 00:08,16.06,64.61,10.02,1586.17,3,24,19,52,30,0.44
04/06/24 00:09,20.88,69.53,45.25,1486.19,2,41,54,97,45,0.68
04/06/24 00:10,24.57,47.54,38.58,1722.19,0,1,17,30,35,0.25
04/06/24 00:11,24.78,61.68,18.75,836.11,4,8,13,25,12,0.16
04/06/24 00:12,15.64,61.79,26.35,1782.89,4,10,81,86,37,0.59
04/06/24 00:13,26.42,69.34,2.52,1457.13,2,32,33,100,66,0.75
04/06/24 00:14,18.0,57.93,45.07,861.4300000000001,0,76,56,61,90,0.95
04/06/24 00:15,27.59,48.74,22.03,1332.52,3,75,41,21,25,0.61
04/06/24 00:16,23.87,45.699999999999996,32.3,501.47,5,86,26,74,44,0.86
04/06/24 00:17,29.01,38.96,25.52,1954.01,3,35,87,85,1,0.56
04/06/24 00:18,24.8,40.02,13.93,754.04,3,75,45,81,69,0.9
04/06/24 00:19,21.52,70,39.69,1406.01,0,94,64,42,28,0.9
04/06/24 00:20,29.29,63.78,39.25,1713.77,3,33,40,68,62,0.71
04/06/24 00:21,20.96,70,1.47,400,3,25,82,71,59,0.71
04/06/24 00:22,17.73,67.02,16.51,1929.6,2,50,13,22,14,0.4
04/06/24 00:23,17.61,68.44,22.05,1746.94,3,12,21,70,51,0.43
04/06/24 00:24,21.65,39.79,48.17,503.49,3,66,6,35,51,0.61
04/06/24 00:25,24.85,60.83,4.42,1085.27,0,80,75,16,59,0.86
04/06/24 00:26,29.67,33.699999999999996,2.4,1700.66,3,87,28,14,57,0.74
04/06/24 00:27,18.63,70,41.66,1640.76,0,28,81,97,86,0.98
04/06/24 00:28,28.76,48.8,2.72,400,2,80,97,20,36,0.95
04/06/24 00:29,27.33,47.910000000000004,15.86,653.97,3,70,38,26,65,0.73
04/06/24 00:30,25.9,66.03999999999999,14.28,1774.83,0,16,75,35,97,0.81
04/06/24 00:31,22.51,52.93,29.03,1514.74,4,27,95,44,43,0.67
04/06/24 00:32,26.62,42.08,47.9,1072.58,0,25,84,26,71,0.74
04/06/24 00:33,17.65,43.73,32.64,720.15,0,7,59,29,52,0.48
04/06/24 00:34,21.39,52.42,20.36,1350.21,5,86,11,56,42,0.71
04/06/24 00:35,20.53,36.39,5.95,1113.26,2,28,33,13,12,0.31
04/06/24 00:36,19.55,55.339999999999996,49.7,678.29,1,59,38,94,2,0.63
04/06/24 00:37,24.3,38.46,45.91,1772.86,1,8,86,7,81,0.68
04/06/24 00:38,28.37,69.99,34.34,1088.27,2,68,69,3,72,0.82
04/06/24 00:39,15.14,43.69,44.98,400,1,13,94,10,46,0.6
04/06/24 00:40,26.04,45.33,28.8,1743.29,0,25,72,0,70,0.61
04/06/24 00:41,25.34,57.03,7.42,723.14,0,46,8,68,59,0.62
04/06/24 00:42,27.68,60.83,9.26,465.43,0,33,32,84,20,0.55
04/06/24 00:43,18.71,41.39,24.6,1510.55,2,45,95,33,97,1.05
04/06/24 00:44,28.97,52.94,2.58,1219.47,2,62,30,90,26,0.68
04/06/24 00:45,15.31,57.64,0.36,1907.45,3,90,66,89,8,0.79
04/06/24 00:46,17.16,37.54,34.21,1393.46,1,35,20,63,16,0.43
04/06/24 00:47,28.98,69.05,48.64,717.73,2,4,49,41,40,0.39
04/06/24 00:48,24.47,70,18.01,1765.68,0,40,5,80,68,0.65
04/06/24 00:49,25.73,61.66,22.51,1316.45,1,41,48,28,38,0.52
04/06/24 00:50,28.92,59.370000000000005,42.87,840.95,2,40,78,53,93,0.91
04/06/24 00:51,18.29,55.08,44.02,1559.25,0,83,46,100,27,0.94
04/06/24 00:52,22.94,41.59,34.04,880.01,4,15,21,36,36,0.32
04/06/24 00:53,19.43,39.86,17.33,1895.22,2,4,95,21,29,0.47
04/06/24 00:54,28.4,42.88,28.08,1080.19,3,54,58,21,25,0.57
04/06/24 00:55,24.08,41.339999999999996,13.07,930.33,3,15,98,24,53,0.66
04/06/24 00:56,18.95,50.07,39.46,704.65,0,23,13,79,83,0.66
04/06/24 00:57,21.43,49.06,10.44,1758.81,0,7,34,26,48,0.41
04/06/24 00:58,21.97,45.17,25.67,1414.66,5,51,80,57,69,0.86
04/06/24 00:59,21.74,47.9,31.54,1169.17,2,78,45,99,46,0.84
04/06/24 01:00,17.82,70,5.69,866.82,4,68,37,82,66,0.92
04/06/24 01:01,26.0,69.05,34.36,799.6,4,94,93,70,5,0.98
04/06/24 01:02,22.24,48.809999999999995,7.05,1890.95,5,50,26,94,57,0.73
04/06/24 01:03,25.95,67.02000000000001,16.32,1854.1,3,77,74,90,32,0.98
04/06/24 01:04,19.24,55.72,49.83,790.98,2,19,13,30,49,0.4
04/06/24 01:05,16.93,41.03,20.62,1297.22,2,46,1,15,20,0.36
04/06/24 01:06,20.39,54.629999999999995,30.16,1340.24,4,47,14,73,93,0.76
04/06/24 01:07,16.1,57.83,41.34,1011.63,1,46,52,96,7,0.55
04/06/24 01:08,24.47,62.31,20.0,1674.83,0,46,42,26,35,0.52
04/06/24 01:09,17.7,48.09,26.84,1887.63,3,10,19,52,22,0.32
04/06/24 01:10,23.1,67.05,0.52,400,5,71,57,21,82,0.94
04/06/24 01:11,23.72,47.37,47.73,1698.63,2,18,76,14,3,0.36
04/06/24 01:12,25.53,44.91,33.5,1015.71,2,36,20,73,78,0.77
04/06/24 01:13,28.02,69.53999999999999,16.36,872.82,2,0,2,85,55,0.38
04/06/24 01:14,21.34,70,20.64,1526.66,2,25,87,93,11,0.63
04/06/24 01:15,19.38,52.89,21.22,825.9,5,82,91,85,46,1.03
04/06/24 01:16,20.54,62.76,35.43,798.69,3,60,30,36,17,0.5
04/06/24 01:17,27.83,70,47.39,652.34,5,69,16,93,40,0.68
04/06/24 01:18,24.59,32.1,31.41,1784.69,1,3,76,16,33,0.4
04/06/24 01:19,22.46,47.18,38.99,1644.82,2,3,55,56,49,0.5
04/06/24 01:20,28.36,38.050000000000004,17.11,1058.93,5,95,66,46,62,1.07
04/06/24 01:21,25.99,70,34.13,1060.31,0,17,17,4,71,0.41
04/06/24 01:22,28.48,43.13,42.19,748.21,5,52,24,77,41,0.68
04/06/24 01:23,25.61,39.17,24.98,1763.44,0,57,42,67,9,0.63
04/06/24 01:24,23.2,49.940000000000005,1.93,924.63,0,37,44,67,5,0.44
04/06/24 01:25,26.58,44.0,23.57,413.86,5,39,25,61,9,0.43
04/06/24 01:26,15.58,38.71,40.54,816.67,4,47,17,62,58,0.64
04/06/24 01:27,17.44,38.56,7.39,1908.55,4,90,94,81,5,0.87
04/06/24 01:28,23.17,70,21.8,1439.59,0,61,43,54,22,0.64
04/06/24 01:29,28.24,63.74,5.73,1142.55,2,36,96,51,1,0.62
04/06/24 01:30,23.66,51.260000000000005,33.75,706.01,5,30,21,92,25,0.54
04/06/24 01:31,23.07,39.699999999999996,15.67,1645.59,2,18,55,23,86,0.62
04/06/24 01:32,15.47,47.93,3.65,1426.62,3,99,8,43,96,1.06
04/06/24 01:33,17.15,43.64,13.73,820.86,2,4,15,50,75,0.45
04/06/24 01:34,23.95,40.339999999999996,37.19,400,1,93,8,18,10,0.57
04/06/24 01:35,20.73,68.67,34.62,1939.34,3,69,85,74,5,0.77
04/06/24 01:36,28.58,70,7.96,468.57000000000005,2,15,53,94,31,0.58
04/06/24 01:37,26.54,36.82,34.44,400,1,74,93,65,58,1.04
04/06/24 01:38,19.69,60.480000000000004,8.5,816.0,4,88,40,86,89,1.02
04/06/24 01:39,26.46,60.699999999999996,46.77,1960.58,4,34,34,24,16,0.41
04/06/24 01:40,17.42,41.15,2.47,766.77,4,24,76,18,27,0.54
04/06/24 01:41,17.6,55.099999999999994,7.8,1159.37,5,45,100,18,100,0.98
04/06/24 01:42,27.57,41.29,7.99,1787.25,5,86,36,36,5,0.67
04/06/24 01:43,27.96,68.03999999999999,8.56,943.41,5,57,10,61,50,0.65
04/06/24 01:44,22.13,55.45,25.66,1772.32,5,69,27,21,39,0.58
04/06/24 01:45,27.26,68.77,36.18,400,3,33,7,36,26,0.37
04/06/24 01:46,20.59,55.489999999999995,48.98,423.89,1,98,68,23,64,0.95
04/06/24 01:47,22.9,70,48.15,1124.41,0,25,25,74,39,0.55
04/06/24 01:48,17.71,70,5.28,697.91,3,23,37,83,65,0.65
04/06/24 01:49,26.71,70,35.78,1124.97,3,43,28,53,93,0.84
04/06/24 01:50,20.82,63.39,7.47,404.98,3,21,84,80,96,0.9
04/06/24 01:51,27.7,55.35,31.13,400,2,5,42,79,98,0.75
04/06/24 01:52,27.73,46.12,26.48,968.28,5,58,63,39,62,0.74
04/06/24 01:53,26.84,69.93,3.89,914.71,4,80,97,88,72,1.1
04/06/24 01:54,26.82,35.78,13.86,1435.02,3,53,92,16,47,0.8
04/06/24 01:55,27.22,69.69,35.85,1354.44,2,53,28,81,19,0.53
04/06/24 01:56,23.53,70,10.48,491.92999999999995,3,0,80,74,18,0.5
04/06/24 01:57,18.88,39.55,4.38,1654.83,1,91,11,70,5,0.61
04/06/24 01:58,19.03,53.01,13.07,400,5,74,100,80,73,1.19
04/06/24 01:59,22.04,46.82,30.12,1204.51,5,97,63,85,22,0.94
04/06/24 02:00,29.44,41.11,46.0,753.44,2,57,100,64,18,0.75
04/06/24 02:01,27.99,68.91,8.66,1288.51,3,41,17,100,20,0.54
04/06/24 02:02,25.45,70,17.9,1323.34,0,7,54,48,8,0.35
04/06/24 02:03,17.89,61.35,39.6,578.27,4,89,8,26,71,0.83
04/06/24 02:04,17.72,47.15,25.11,1383.69,3,51,30,55,90,0.8
04/06/24 02:05,15.02,62.58,17.81,586.0,4,43,45,25,3,0.39
04/06/24 02:06,19.14,34.16,18.54,1189.1,4,88,100,8,48,1.0
04/06/24 02:07,27.29,45.13,46.92,1468.96,1,18,89,97,77,0.79
04/06/24 02:08,28.58,63.2,32.07,1840.18,5,96,64,97,23,0.91
