Timestamp,Temperature (C),Fan Speed,Occupancy,Energy Usage (kWh)
04/06/24 00:00,20.55,7,0,0.08
04/06/24 00:01,15.45,40,0,0.44
04/06/24 00:02,20.99,46,2,0.54
04/06/24 00:03,27.24,48,1,0.43
04/06/24 00:04,20.33,46,1,0.38
04/06/24 00:05,20.18,74,0,0.61
04/06/24 00:06,19.25,13,3,0.11
04/06/24 00:07,24.99,4,1,0.04
04/06/24 00:08,23.83,91,2,0.99
04/06/24 00:09,15.15,70,0,0.79
04/06/24 00:10,26.21,27,3,0.24
04/06/24 00:11,15.95,73,1,0.72
04/06/24 00:12,27.42,54,0,0.54
04/06/24 00:13,19.67,88,3,0.88
04/06/24 00:14,22.26,40,1,0.33
04/06/24 00:15,20.57,75,2,0.81
04/06/24 00:16,21.68,90,3,1.07
04/06/24 00:17,22.77,16,1,0.13
04/06/24 00:18,28.68,89,0,1.02
04/06/24 00:19,21.88,28,2,0.33
04/06/24 00:20,27.93,90,2,0.77
04/06/24 00:21,19.27,9,0,0.08
04/06/24 00:22,29.67,81,3,0.87
04/06/24 00:23,25.14,38,0,0.36
04/06/24 00:24,20.02,13,2,0.11
04/06/24 00:25,25.08,44,3,0.35
04/06/24 00:26,21.85,81,3,0.72
04/06/24 00:27,26.07,15,1,0.17
04/06/24 00:28,21.99,20,1,0.17
04/06/24 00:29,26.4,95,3,0.84
04/06/24 00:30,15.92,50,2,0.55
04/06/24 00:31,18.46,46,2,0.54
04/06/24 00:32,29.19,4,1,0.04
04/06/24 00:33,16.98,83,2,0.86
04/06/24 00:34,17.54,1,0,0.01
04/06/24 00:35,15.28,64,2,0.6
04/06/24 00:36,18.66,92,1,1.4
04/06/24 00:37,23.66,95,1,0.77
04/06/24 00:38,24.04,53,2,0.58
04/06/24 00:39,21.83,62,3,0.74
04/06/24 00:40,27.07,4,1,0.04
04/06/24 00:41,26.32,15,3,0.17
04/06/24 00:42,26.59,13,1,0.15
04/06/24 00:43,28.66,97,3,0.81
04/06/24 00:44,26.48,14,2,0.14
04/06/24 00:45,26.78,11,1,0.13
04/06/24 00:46,29.01,29,1,0.32
04/06/24 00:47,15.15,11,1,0.1
04/06/24 00:48,25.82,73,1,0.76
04/06/24 00:49,29.19,87,1,0.94
04/06/24 00:50,25.97,98,3,1.8
04/06/24 00:51,29.25,70,1,0.56
04/06/24 00:52,21.06,19,3,0.16
04/06/24 00:53,29.17,31,1,0.31
04/06/24 00:54,17.09,7,1,0.07
04/06/24 00:55,15.21,49,0,0.44
04/06/24 00:56,16.86,94,5,1.58
04/06/24 00:57,23.9,10,0,0.09
04/06/24 00:58,19.51,20,2,0.18
04/06/24 00:59,21.48,43,2,0.39
04/06/24 01:00,21.05,15,0,0.17
04/06/24 01:01,20.99,92,1,0.88
04/06/24 01:02,20.83,88,1,0.75
04/06/24 01:03,18.57,96,2,1.49
04/06/24 01:04,28.38,84,1,0.96
04/06/24 01:05,16.25,1,0,0.01
04/06/24 01:06,27.81,70,3,0.67
04/06/24 01:07,26.19,91,3,1.06
04/06/24 01:08,17.75,81,1,1.47
04/06/24 01:09,20.85,100,2,1.1
04/06/24 01:10,27.5,82,0,0.88
04/06/24 01:11,25.53,83,3,0.75
04/06/24 01:12,22.41,52,0,0.5
04/06/24 01:13,19.39,13,1,0.11
04/06/24 01:14,26.32,27,3,0.22
04/06/24 01:15,28.12,1,2,0.01
04/06/24 01:16,23.81,47,3,0.43
04/06/24 01:17,16.82,80,3,0.72
04/06/24 01:18,19.36,28,0,0.32
04/06/24 01:19,25.94,91,1,1.47
04/06/24 01:20,23.02,79,2,0.86
04/06/24 01:21,27.24,41,0,0.33
04/06/24 01:22,23.68,26,0,0.24
04/06/24 01:23,26.51,88,5,1.37
04/06/24 01:24,23.97,80,3,0.81
04/06/24 01:25,21.01,11,2,0.13
04/06/24 01:26,27.31,11,2,0.09
04/06/24 01:27,25.08,87,3,1.02
04/06/24 01:28,17.28,41,2,0.35
04/06/24 01:29,27.53,39,0,0.32
04/06/24 01:30,27.72,43,0,0.36
04/06/24 01:31,28.67,66,2,0.6
04/06/24 01:32,16.29,46,3,0.54
04/06/24 01:33,26.45,98,0,1.08
04/06/24 01:34,28.12,95,2,1.06
04/06/24 01:35,16.92,90,1,0.98
04/06/24 01:36,26.05,86,3,1.33
04/06/24 01:37,19.04,15,2,0.15
04/06/24 01:38,19.2,80,0,0.76
04/06/24 01:39,25.37,69,0,0.83
04/06/24 01:40,18.41,45,2,0.52
04/06/24 01:41,28.19,26,3,0.26
04/06/24 01:42,28.29,76,2,0.87
04/06/24 01:43,23.73,83,0,1.25
04/06/24 01:44,19.07,71,2,0.78
04/06/24 01:45,23.16,55,1,0.54
04/06/24 01:46,18.56,76,0,0.9
04/06/24 01:47,25.81,2,3,0.02
04/06/24 01:48,26.1,92,0,0.77
04/06/24 01:49,16.98,15,1,0.14
04/06/24 01:50,26.64,79,1,0.77
04/06/24 01:51,18.85,80,1,0.65
04/06/24 01:52,16.78,39,1,0.33
04/06/24 01:53,29.77,42,1,0.49
04/06/24 01:54,24.87,89,1,1.59
04/06/24 01:55,16.5,90,1,0.73
04/06/24 01:56,23.38,46,3,0.46
04/06/24 01:57,19.01,22,0,0.19
04/06/24 01:58,20.18,20,0,0.17
04/06/24 01:59,23.3,50,1,0.46
04/06/24 02:00,26.35,3,1,0.03
04/06/24 02:01,18.84,54,0,0.49
04/06/24 02:02,27.79,3,1,0.03
04/06/24 02:03,22.3,46,2,0.44
04/06/24 02:04,19.32,86,2,0.75
04/06/24 02:05,21.18,88,4,1.51
04/06/24 02:06,28.12,90,3,0.95
04/06/24 02:07,22.9,86,3,0.76
04/06/24 02:08,27.54,85,1,0.91
04/06/24 02:09,20.79,95,2,0.88
04/06/24 02:10,24.32,31,1,0.28
04/06/24 02:11,29.71,34,2,0.29
04/06/24 02:12,15.82,28,0,0.3
04/06/24 02:13,29.31,81,3,1.46
04/06/24 02:14,21.48,59,3,0.62
04/06/24 02:15,27.3,79,3,0.88
04/06/24 02:16,19.53,99,2,0.93
04/06/24 02:17,16.88,71,2,0.6
04/06/24 02:18,24.8,27,1,0.29
04/06/24 02:19,24.77,100,4,1.9
04/06/24 02:20,26.92,42,3,0.39
04/06/24 02:21,26.91,61,0,0.58
04/06/24 02:22,29.43,17,2,0.18
04/06/24 02:23,16.12,45,2,0.45
04/06/24 02:24,15.98,11,2,0.13
04/06/24 02:25,19.49,38,1,0.37
04/06/24 02:26,16.29,75,0,0.74
04/06/24 02:27,20.86,11,2,0.12
04/06/24 02:28,24.36,38,0,0.36
04/06/24 02:29,27.39,19,2,0.21
04/06/24 02:30,17.04,47,0,0.41
04/06/24 02:31,23.13,54,3,0.56
04/06/24 02:32,18.92,86,2,1.53
04/06/24 02:33,23.51,80,3,0.84
04/06/24 02:34,22.19,51,0,0.51
04/06/24 02:35,27.78,40,1,0.34
04/06/24 02:36,17.46,20,2,0.2
04/06/24 02:37,23.45,48,3,0.56
04/06/24 02:38,27.63,88,0,1.05
04/06/24 02:39,15.35,99,3,0.84
04/06/24 02:40,25.65,58,0,0.64
04/06/24 02:41,24.4,90,1,1.48
04/06/24 02:42,20.6,13,0,0.1
04/06/24 02:43,16.79,39,0,0.39
04/06/24 02:44,26.87,45,2,0.42
04/06/24 02:45,21.83,32,1,0.32
04/06/24 02:46,16.04,100,0,0.94
04/06/24 02:47,17.84,72,1,0.77
04/06/24 02:48,22.62,22,1,0.2
04/06/24 02:49,15.94,43,1,0.49
04/06/24 02:50,18.34,94,3,0.98
04/06/24 02:51,18.53,4,3,0.04
04/06/24 02:52,17.17,53,0,0.6
04/06/24 02:53,24.58,80,3,1.32
04/06/24 02:54,24.99,81,2,1.37
04/06/24 02:55,21.06,33,3,0.37
04/06/24 02:56,22.91,27,1,0.31
04/06/24 02:57,28.19,68,0,0.75
04/06/24 02:58,25.78,3,0,0.03
04/06/24 02:59,29.97,18,0,0.15
04/06/24 03:00,29.96,37,3,0.39
04/06/24 03:01,15.79,18,0,0.17
04/06/24 03:02,26.61,58,2,0.52
04/06/24 03:03,22.22,48,3,0.56
