Timestamp,Temperature (C),Humidity (%),Lux Intensity,CO2 Level (ppm),Occupancy,Fan Speed,Lighting Level,Humidifier Level,Air Purifier Level,Energy Usage (kWh)
04/06/24 00:00,20.46,58.129999999999995,41.01,1416.38,1,57,57,3,85,0.88
04/06/24 00:01,19.47,43.68,17.8,1507.51,5,61,75,67,11,0.67
04/06/24 00:02,29.74,67.22,14.34,731.15,2,30,15,81,18,0.44
04/06/24 00:03,29.15,51.32,31.98,1553.22,0,16,34,81,72,0.6
04/06/24 00:04,26.72,66.6,21.05,1703.97,0,98,99,86,57,1.27
04/06/24 00:05,20.68,55.1,7.12,615.18,1,31,38,71,34,0.54
04/06/24 00:06,19.15,38.08,8.97,518.58,3,27,80,9,88,0.7
04/06/24 00:07,26.42,70,35.74,804.98,1,57,10,71,88,0.82
04/06/24 00:08,27.1,48.629999999999995,17.84,1497.97,3,84,34,18,56,0.72
04/06/24 00:09,24.34,63.309999999999995,3.54,1176.09,4,4,21,94,59,0.46
04/06/24 00:10,23.43,43.79,7.32,982.02,0,12,18,13,83,0.44
04/06/24 00:11,29.98,50.62,7.85,400,1,9,19,45,74,0.47
04/06/24 00:12,23.46,35.379999999999995,16.43,1272.78,4,39,9,53,6,0.35
04/06/24 00:13,29.2,70,4.8,1300.81,3,2,22,69,95,0.6
04/06/24 00:14,18.43,54.29,48.62,400,5,70,15,16,69,0.69
04/06/24 00:15,20.4,57.28,12.88,1703.94,1,41,23,64,97,0.83
04/06/24 00:16,26.99,67.92,32.3,586.96,2,87,90,57,74,1.15
04/06/24 00:17,28.17,56.95,8.67,1775.76,2,98,56,17,41,0.86
04/06/24 00:18,26.23,70,29.76,629.16,5,58,57,56,71,0.92
04/06/24 00:19,26.82,53.26,27.75,1170.81,3,67,100,61,96,1.17
04/06/24 00:20,21.0,42.79,46.16,1486.7,5,58,75,95,64,0.87
04/06/24 00:21,29.32,41.14,34.42,1877.84,1,56,80,58,58,0.85
04/06/24 00:22,17.98,54.61,13.88,1191.19,5,51,8,88,47,0.59
04/06/24 00:23,29.73,45.47,28.87,739.71,1,21,55,23,36,0.45
04/06/24 00:24,23.86,33.21,24.12,1077.68,4,26,97,1,93,0.82
04/06/24 00:25,18.78,38.64,9.03,899.26,1,59,13,18,84,0.69
04/06/24 00:26,17.63,43.45,24.5,400,4,32,38,95,84,0.86
04/06/24 00:27,29.54,61.41,15.51,1886.06,0,85,77,80,26,0.84
04/06/24 00:28,16.73,45.36,7.19,1873.54,3,2,29,25,67,0.39
04/06/24 00:29,23.06,45.370000000000005,17.77,1319.36,1,80,6,32,97,0.87
04/06/24 00:30,23.53,39.410000000000004,17.06,1599.79,3,36,50,77,99,0.92
04/06/24 00:31,26.87,44.46,16.86,878.27,4,27,2,41,71,0.48
04/06/24 00:32,16.68,44.279999999999994,46.62,1444.43,4,79,65,38,57,0.93
04/06/24 00:33,29.74,49.63,15.0,684.83,3,56,44,86,76,0.94
04/06/24 00:34,27.93,36.88,26.13,1366.1,5,20,37,49,53,0.5
04/06/24 00:35,23.58,63.45,26.97,1701.23,2,75,53,72,93,1.14
04/06/24 00:36,26.17,51.01,13.59,1343.92,1,94,41,23,4,0.63
04/06/24 00:37,29.08,37.58,45.71,1404.24,3,33,73,15,49,0.66
04/06/24 00:38,27.85,47.65,31.0,1163.61,4,33,58,0,12,0.42
04/06/24 00:39,28.71,50.22,48.56,400,2,32,37,26,51,0.49
04/06/24 00:40,27.61,70,14.21,1357.51,3,27,34,57,77,0.72
04/06/24 00:41,28.6,63.16,25.24,755.96,2,21,16,79,29,0.44
04/06/24 00:42,16.5,39.29,5.45,852.89,3,33,88,13,34,0.63
04/06/24 00:43,21.07,65.53,45.68,400,4,46,19,66,55,0.64
04/06/24 00:44,28.67,33.84,33.67,1489.52,4,12,22,0,79,0.46
04/06/24 00:45,29.06,43.93,41.62,1853.01,1,19,30,8,14,0.23
04/06/24 00:46,22.06,41.67,18.46,746.15,4,36,57,81,85,0.92
04/06/24 00:47,29.36,51.54,2.27,1526.53,5,20,47,91,46,0.64
04/06/24 00:48,25.28,53.379999999999995,23.31,1057.63,2,22,68,53,70,0.66
04/06/24 00:49,20.77,40.059999999999995,48.53,546.48,5,28,69,38,8,0.47
04/06/24 00:50,20.89,70,10.18,588.54,3,46,53,86,52,0.78
04/06/24 00:51,21.72,50.0,28.75,1363.16,2,26,50,25,100,0.73
04/06/24 00:52,25.0,62.720000000000006,6.99,797.21,3,81,75,42,56,0.86
04/06/24 00:53,17.0,37.510000000000005,49.57,1681.78,0,61,46,17,95,0.78
04/06/24 00:54,25.83,47.97,19.25,600.51,3,11,14,78,52,0.46
04/06/24 00:55,23.03,70,48.43,1268.78,4,15,12,74,51,0.51
04/06/24 00:56,22.48,48.39,46.51,983.04,1,35,98,15,27,0.65
04/06/24 00:57,26.54,63.86,39.76,1208.44,2,47,20,53,19,0.52
04/06/24 00:58,17.38,43.199999999999996,32.36,1343.41,4,49,43,39,28,0.52
04/06/24 00:59,28.49,60.76,13.89,1690.88,1,18,1,0,62,0.33
04/06/24 01:00,27.38,67.48,48.29,1790.25,0,68,61,61,46,0.89
04/06/24 01:01,20.9,65.82,48.33,1470.03,3,55,59,1,23,0.53
04/06/24 01:02,22.72,56.67,48.36,1157.03,0,84,90,88,80,1.2
04/06/24 01:03,16.2,45.65,3.05,1796.17,1,83,27,39,54,0.74
04/06/24 01:04,27.86,44.11,9.75,400,2,83,17,31,82,0.82
04/06/24 01:05,19.77,67.35000000000001,40.73,865.27,3,83,4,17,97,0.93
04/06/24 01:06,27.73,51.260000000000005,25.49,1731.18,2,50,55,67,52,0.82
04/06/24 01:07,19.36,40.23,33.09,400,4,93,69,0,94,0.97
04/06/24 01:08,18.55,38.58,8.7,450.75,0,15,59,20,60,0.56
04/06/24 01:09,28.74,70,0.73,1699.17,1,32,18,45,51,0.55
